filename,num_rows,num_columns
cell_15_15.csv,763,8
cell_15_3.csv,19,8
cell_6_24.csv,1468,8
cell_6_30.csv,666,8
cell_12_8 2.csv,1453,8
cell_1_39.csv,249,8
cell_10_24 2.csv,2127,8
cell_15_29.csv,998,8
cell_12_20.csv,1759,8
cell_6_18.csv,904,8
cell_8_35.csv,1348,8
cell_12_34.csv,473,8
cell_11_24 2.csv,2404,8
cell_8_21.csv,1472,8
cell_11_9 2.csv,1769,8
cell_5_18 2.csv,1508,8
cell_12_16 2.csv,1804,8
cell_13_16 2.csv,1764,8
cell_2_40.csv,48,8
cell_22_8.csv,155,8
cell_8_22 2.csv,1381,8
cell_9_22 2.csv,1726,8
cell_23_14.csv,610,8
cell_24_26 2.csv,460,8
cell_24_35.csv,554,8
cell_24_21.csv,951,8
cell_25_26 2.csv,216,8
cell_23_28.csv,348,8
cell_11_7.csv,1139,8
cell_14_5 2.csv,455,8
cell_28_21.csv,270,8
cell_21_11.csv,337,8
cell_26_18.csv,278,8
cell_28_35.csv,279,8
cell_26_29 2.csv,271,8
cell_26_30.csv,337,8
cell_21_39.csv,85,8
cell_27_29 2.csv,25,8
cell_26_24.csv,284,8
cell_10_19.csv,1082,8
cell_4_21.csv,272,8
cell_3_28.csv,1253,8
cell_17_10.csv,523,8
cell_13_5.csv,450,8
cell_19_29.csv,1834,8
cell_4_35.csv,626,8
cell_10_25.csv,818,8
cell_18_30 2.csv,378,8
cell_5_25 2.csv,2146,8
cell_19_15.csv,1217,8
cell_17_38.csv,449,8
cell_4_25 2.csv,1631,8
cell_19_30 2.csv,540,8
cell_10_31.csv,673,8
cell_7_17 2.csv,1818,8
cell_31_28.csv,78,8
cell_10_19 2.csv,2459,8
cell_6_17 2.csv,2603,8
cell_11_19 2.csv,3578,8
cell_31_29.csv,150,8
cell_17_39.csv,98,8
cell_19_14.csv,600,8
cell_10_30.csv,1538,8
cell_10_24.csv,3131,8
cell_19_28.csv,1583,8
cell_13_4.csv,379,8
cell_4_34.csv,197,8
cell_4_20.csv,120,8
cell_10_18.csv,2696,8
cell_17_11.csv,1270,8
cell_3_29.csv,1255,8
cell_9_5 2.csv,958,8
cell_26_25.csv,583,8
cell_26_31.csv,397,8
cell_21_38.csv,388,8
cell_21_10.csv,487,8
cell_28_34.csv,431,8
cell_26_19.csv,350,8
cell_28_20.csv,236,8
cell_18_14 2.csv,653,8
cell_19_14 2.csv,566,8
cell_11_6.csv,1214,8
cell_18_29 2.csv,613,8
cell_24_20.csv,329,8
cell_23_29.csv,301,8
cell_19_29 2.csv,561,8
cell_24_34.csv,613,8
cell_23_15.csv,694,8
cell_23_23 2.csv,535,8
cell_22_23 2.csv,724,8
cell_21_11 2.csv,395,8
cell_20_11 2.csv,457,8
cell_22_9.csv,684,8
cell_33_38.csv,241,8
cell_15_13 2.csv,1433,8
cell_14_13 2.csv,2786,8
cell_8_20.csv,2193,8
cell_12_35.csv,623,8
cell_26_30 2.csv,349,8
cell_15_28.csv,1026,8
cell_27_30 2.csv,118,8
cell_8_34.csv,1323,8
cell_6_19.csv,1204,8
cell_12_21.csv,1613,8
cell_6_31.csv,1299,8
cell_1_38.csv,579,8
cell_17_21 2.csv,918,8
cell_15_14.csv,668,8
cell_16_21 2.csv,863,8
cell_6_25.csv,1038,8
cell_12_32.csv,977,8
cell_8_27.csv,1090,8
cell_5_23 2.csv,1425,8
cell_12_26.csv,1059,8
cell_8_33.csv,748,8
cell_4_23 2.csv,1985,8
cell_6_36.csv,292,8
cell_15_13.csv,694,8
cell_15_5.csv,198,8
cell_6_22.csv,981,8
cell_7_11 2.csv,1768,8
cell_6_11 2.csv,2093,8
cell_8_19 2.csv,4554,8
cell_8_6.csv,306,8
cell_17_7.csv,1196,8
cell_9_19 2.csv,2644,8
cell_24_27.csv,439,8
cell_24_33.csv,289,8
cell_19_8.csv,343,8
cell_23_12.csv,669,8
cell_11_1.csv,118,8
cell_24_20 2.csv,316,8
cell_26_22.csv,618,8
cell_26_36.csv,245,8
cell_8_7 2.csv,1129,8
cell_15_31 2.csv,207,8
cell_8_24 2.csv,2869,8
cell_21_17.csv,1129,8
cell_28_33.csv,285,8
cell_28_27.csv,277,8
cell_9_24 2.csv,2353,8
cell_14_31 2.csv,295,8
cell_19_13.csv,699,8
cell_10_22 2.csv,2649,8
cell_10_37.csv,447,8
cell_10_23.csv,2636,8
cell_11_22 2.csv,2685,8
cell_13_3.csv,306,8
cell_4_33.csv,339,8
cell_4_27.csv,1384,8
cell_17_16.csv,1085,8
cell_12_10 2.csv,1146,8
cell_13_10 2.csv,1150,8
cell_19_9 2.csv,384,8
cell_15_15 2.csv,1499,8
cell_7_8 2.csv,3082,8
cell_14_15 2.csv,2131,8
cell_4_26.csv,1067,8
cell_17_27 2.csv,1156,8
cell_17_17.csv,1768,8
cell_13_2.csv,72,8
cell_16_27 2.csv,941,8
cell_4_32.csv,914,8
cell_10_22.csv,1937,8
cell_19_12.csv,802,8
cell_10_36.csv,704,8
cell_28_26.csv,290,8
cell_23_25 2.csv,233,8
cell_21_16.csv,748,8
cell_28_32.csv,320,8
cell_22_25 2.csv,318,8
cell_26_37.csv,214,8
cell_16_6 2.csv,1073,8
cell_26_23.csv,316,8
cell_21_17 2.csv,464,8
cell_20_17 2.csv,823,8
cell_24_9.csv,4,8
cell_15_7 2.csv,705,8
cell_19_9.csv,365,8
cell_23_13.csv,230,8
cell_9_3 2.csv,799,8
cell_24_32.csv,426,8
cell_24_26.csv,406,8
cell_23_18 2.csv,417,8
cell_17_6.csv,272,8
cell_22_18 2.csv,507,8
cell_8_7.csv,602,8
cell_18_12 2.csv,1130,8
cell_19_12 2.csv,626,8
cell_15_4.csv,200,8
cell_15_12.csv,405,8
cell_6_23.csv,1053,8
cell_15_28 2.csv,1085,8
cell_6_37.csv,199,8
cell_3_26 2.csv,770,8
cell_14_28 2.csv,1248,8
cell_8_32.csv,930,8
cell_12_27.csv,2244,8
cell_8_26.csv,840,8
cell_12_33.csv,663,8
cell_12_25.csv,1527,8
cell_8_30.csv,1048,8
cell_18_10 2.csv,655,8
cell_15_38.csv,421,8
cell_19_10 2.csv,401,8
cell_12_31.csv,894,8
cell_8_24.csv,1537,8
cell_6_21.csv,1426,8
cell_12_19.csv,3184,8
cell_15_10.csv,856,8
cell_15_6.csv,775,8
cell_6_35.csv,607,8
cell_8_18.csv,1284,8
cell_9_1 2.csv,93,8
cell_21_28 2.csv,384,8
cell_20_28 2.csv,560,8
cell_13_8 2.csv,1094,8
cell_3_24 2.csv,1303,8
cell_8_5.csv,137,8
cell_24_30.csv,328,8
cell_23_39.csv,24,8
cell_24_24.csv,1187,8
cell_10_9 2.csv,2035,8
cell_17_18 2.csv,1132,8
cell_23_11.csv,157,8
cell_16_18 2.csv,1686,8
cell_24_18.csv,122,8
cell_0_40.csv,331,8
cell_17_25 2.csv,784,8
cell_11_2.csv,177,8
cell_16_25 2.csv,1209,8
cell_26_35.csv,163,8
cell_28_18.csv,111,8
cell_26_21.csv,293,8
cell_21_28.csv,228,8
cell_15_17 2.csv,1691,8
cell_28_24.csv,366,8
cell_14_17 2.csv,2136,8
cell_28_30.csv,294,8
cell_21_14.csv,475,8
cell_15_5 2.csv,823,8
cell_17_29.csv,928,8
cell_10_20.csv,1825,8
cell_10_34.csv,886,8
cell_19_10.csv,452,8
cell_19_38.csv,352,8
cell_21_15 2.csv,461,8
cell_17_15.csv,878,8
cell_4_24.csv,2449,8
cell_4_30.csv,898,8
cell_20_15 2.csv,594,8
cell_3_39.csv,348,8
cell_23_27 2.csv,456,8
cell_22_27 2.csv,574,8
cell_8_26 2.csv,1193,8
cell_9_26 2.csv,1568,8
cell_24_22 2.csv,375,8
cell_31_38.csv,99,8
cell_25_22 2.csv,55,8
cell_8_5 2.csv,1575,8
cell_4_31.csv,678,8
cell_3_38.csv,322,8
cell_17_14.csv,874,8
cell_19_39.csv,74,8
cell_4_25.csv,1644,8
cell_10_35.csv,804,8
cell_19_11.csv,153,8
cell_17_28.csv,1621,8
cell_10_21.csv,1484,8
cell_4_19.csv,10,8
cell_28_31.csv,213,8
cell_21_15.csv,875,8
cell_28_25.csv,312,8
cell_26_20.csv,346,8
cell_21_29.csv,216,8
cell_12_12 2.csv,1265,8
cell_28_19.csv,197,8
cell_13_12 2.csv,1218,8
cell_26_34.csv,209,8
cell_21_31 2.csv,52,8
cell_11_3.csv,547,8
cell_20_31 2.csv,79,8
cell_10_20 2.csv,2493,8
cell_11_20 2.csv,2148,8
cell_23_10.csv,479,8
cell_24_19.csv,330,8
cell_7_13 2.csv,4051,8
cell_24_25.csv,784,8
cell_24_31.csv,337,8
cell_6_13 2.csv,1920,8
cell_23_38.csv,190,8
cell_8_4.csv,70,8
cell_17_5.csv,221,8
cell_5_21 2.csv,1497,8
cell_4_21 2.csv,1386,8
cell_1_32 2.csv,110,8
cell_8_19.csv,1653,8
cell_6_34.csv,509,8
cell_12_18.csv,1065,8
cell_6_20.csv,899,8
cell_15_7.csv,874,8
cell_15_11.csv,1080,8
cell_15_39.csv,214,8
cell_8_25.csv,1263,8
cell_12_30.csv,1064,8
cell_8_31.csv,935,8
cell_12_24.csv,1873,8
