PLY;Points
cell_0_36.ply;17
cell_0_37.ply;179
cell_0_38.ply;260
cell_0_39.ply;280
cell_0_40.ply;331
cell_1_32.ply;32
cell_1_33.ply;361
cell_1_34.ply;289
cell_1_35.ply;741
cell_1_36.ply;438
cell_1_37.ply;1140
cell_1_38.ply;579
cell_1_39.ply;249
cell_1_40.ply;101
cell_2_28.ply;71
cell_2_29.ply;270
cell_2_30.ply;634
cell_2_31.ply;421
cell_2_32.ply;1374
cell_2_33.ply;372
cell_2_34.ply;493
cell_2_35.ply;476
cell_2_36.ply;505
cell_2_37.ply;577
cell_2_38.ply;525
cell_2_39.ply;257
cell_2_40.ply;48
cell_3_23.ply;7
cell_3_24.ply;190
cell_3_25.ply;704
cell_3_26.ply;594
cell_3_27.ply;1403
cell_3_28.ply;1253
cell_3_29.ply;1255
cell_3_30.ply;813
cell_3_31.ply;549
cell_3_32.ply;314
cell_3_33.ply;594
cell_3_34.ply;215
cell_3_35.ply;410
cell_3_36.ply;436
cell_3_37.ply;524
cell_3_38.ply;322
cell_3_39.ply;348
cell_3_40.ply;50
cell_4_19.ply;10
cell_4_20.ply;120
cell_4_21.ply;272
cell_4_22.ply;850
cell_4_23.ply;680
cell_4_24.ply;2449
cell_4_25.ply;1644
cell_4_26.ply;1067
cell_4_27.ply;1384
cell_4_28.ply;2253
cell_4_29.ply;1343
cell_4_30.ply;898
cell_4_31.ply;678
cell_4_32.ply;914
cell_4_33.ply;339
cell_4_34.ply;197
cell_4_35.ply;626
cell_4_36.ply;228
cell_4_37.ply;388
cell_4_38.ply;286
cell_4_39.ply;141
cell_4_40.ply;12
cell_5_15.ply;72
cell_5_16.ply;455
cell_5_17.ply;848
cell_5_18.ply;786
cell_5_19.ply;1193
cell_5_20.ply;1533
cell_5_21.ply;1468
cell_5_22.ply;1083
cell_5_23.ply;1381
cell_5_24.ply;1654
cell_5_25.ply;2321
cell_5_26.ply;1482
cell_5_27.ply;2104
cell_5_28.ply;1942
cell_5_29.ply;1361
cell_5_30.ply;1291
cell_5_31.ply;1266
cell_5_32.ply;1087
cell_5_33.ply;374
cell_5_34.ply;384
cell_5_35.ply;620
cell_5_36.ply;339
cell_5_37.ply;339
cell_5_38.ply;280
cell_5_39.ply;203
cell_5_40.ply;7
cell_6_11.ply;82
cell_6_12.ply;154
cell_6_13.ply;444
cell_6_14.ply;930
cell_6_15.ply;1423
cell_6_16.ply;1207
cell_6_17.ply;785
cell_6_18.ply;904
cell_6_19.ply;1204
cell_6_20.ply;899
cell_6_21.ply;1426
cell_6_22.ply;981
cell_6_23.ply;1053
cell_6_24.ply;1468
cell_6_25.ply;1038
cell_6_26.ply;994
cell_6_27.ply;916
cell_6_28.ply;724
cell_6_29.ply;969
