//X Y Z Roughness_(0.15893) R G B
7.86699152 -0.41923282 0.60254532 0.031419 0 154 100
11.66054726 -3.00374365 0.93829119 0.046683 0 232 22
9.70178223 -0.56752980 0.51848257 0.016488 0 80 174
11.66029739 -3.11810660 0.99045348 0.005334 0 23 231
8.88698483 11.40770149 0.27308822 0.009676 0 47 207
8.62559605 11.64729023 0.27492785 0.058150 34 255 0
10.21284199 -2.60193348 0.68685532 0.004701 0 20 234
8.98163223 -1.96750402 0.64138865 nan 204 204 204
8.39618206 6.91997242 0.54623151 0.029183 0 145 109
7.59882355 7.42207909 0.62414289 0.046516 0 232 22
7.49714184 7.63158989 0.61040759 0.042753 0 214 40
11.86965847 -2.99941421 0.74667716 0.004800 0 23 231
33.44180679 -4.34501457 0.09603906 0.087524 183 255 0
11.92068958 -3.32304454 1.18126130 0.030452 0 151 103
19.78018570 -31.54668045 2.31116152 0.084404 169 255 0
5.22889519 12.13613701 0.09186935 0.063247 61 255 0
8.23959541 11.09107971 0.20337629 0.020008 0 97 157
9.67293358 -0.51545310 0.51515365 0.060073 46 255 0
8.38209057 6.94725657 0.50217414 0.022756 0 112 142
8.39155769 7.46321392 0.40431738 0.016582 0 80 174
8.20970440 7.65619135 0.41681170 0.031539 0 157 97
7.51996136 7.68730593 0.59274030 0.037020 0 184 70
6.05186462 6.09629297 0.97997880 0.064830 70 255 0
24.32706833 30.36850548 -1.26470137 0.042648 0 211 43
16.71259499 -9.92281914 1.57833266 0.036738 0 181 73
18.18346214 2.43942165 1.17132330 0.031715 0 157 97
43.69982910 15.63613129 -1.52316856 0.025345 0 124 130
17.39878082 0.64964885 0.39881158 0.028328 0 139 115
11.93441582 -2.95008230 0.84122014 0.010005 0 47 207
11.93752956 -3.37814641 1.21680808 0.009755 0 47 207
12.11417484 -3.15619874 1.18370891 0.010786 0 53 201
10.76391888 -16.59961319 1.68026280 0.042315 0 211 43
19.55205727 -31.80396271 2.12352228 0.014757 0 71 183
46.25252151 13.90483475 -1.45226574 nan 204 204 204
38.12494278 22.52899742 -1.40119410 nan 204 204 204
30.10560608 15.22751427 -1.00555611 nan 204 204 204
29.73906898 15.88764954 -1.03833294 nan 204 204 204
23.03230667 10.04054928 -0.31633711 nan 204 204 204
23.02292061 -4.84801102 0.49930596 0.026303 0 130 124
28.82455444 -26.82398605 1.48756075 0.015736 0 77 177
17.43119431 -7.55851984 0.70271730 0.023663 0 115 139
18.12462807 2.30749321 0.75663614 nan 204 204 204
16.98653221 -9.10759544 1.22477698 0.035671 0 178 76
19.04854202 -31.84320450 2.62212133 nan 204 204 204
17.94302940 9.66089630 -0.33653164 0.000714 0 2 252
8.62600040 11.59739971 0.20126724 0.030703 0 151 103
17.16672516 2.95326900 0.14452267 nan 204 204 204
