//X;Y;Z;Rf;Gf;Bf;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump11;Stump112
8776
445624.90840157;5696599.92539795;472.74204971;0.25098;0.239216;0.231373;15677.000000;1.000000;1.000000;1.000000;1.000000;-0.051049;0.051049;-0.051049;1.000000;1.000000
445624.94720085;5696599.89139755;472.74344971;0.203922;0.196078;0.196078;12850.000000;1.000000;1.000000;1.000000;1.000000;-0.061398;0.061398;-0.061398;1.000000;1.000000
445624.95790108;5696599.88099869;472.74384977;0.270588;0.262745;0.278431;17476.000000;1.000000;1.000000;1.000000;1.000000;-0.050999;0.050999;-0.050999;1.000000;1.000000
445624.94660194;5696599.91010101;472.74364998;0.160784;0.156863;0.164706;10280.000000;1.000000;1.000000;1.000000;1.000000;-0.080101;0.080101;-0.080101;1.000000;1.000000
445624.89980133;5696599.93319901;472.74174978;0.184314;0.176471;0.172549;11565.000000;1.000000;1.000000;1.000000;1.000000;-0.039657;0.039657;-0.039657;1.000000;1.000000
445624.92720230;5696599.92600067;472.74064972;0.196078;0.192157;0.192157;12593.000000;1.000000;1.000000;1.000000;1.000000;-0.064024;0.064024;-0.064024;1.000000;1.000000
445624.92860229;5696599.91649826;472.74284985;0.215686;0.203922;0.192157;13364.000000;1.000000;1.000000;1.000000;1.000000;-0.071273;0.071273;-0.071273;1.000000;1.000000
445624.96390160;5696599.92019852;472.74454977;0.137255;0.129412;0.129412;8481.000000;1.000000;1.000000;1.000000;1.000000;0.090199;-0.090199;0.090199;1.000000;1.000000
445624.96740158;5696599.88249786;472.74424984;0.360784;0.356863;0.372549;23387.000000;1.000000;1.000000;1.000000;1.000000;0.052498;-0.052498;0.052498;1.000000;1.000000
445624.94630249;5696599.92889984;472.73915007;0.172549;0.160784;0.156863;10537.000000;1.000000;1.000000;1.000000;1.000000;-0.078533;0.078533;-0.078533;1.000000;1.000000
445624.99340065;5696599.70730026;472.73864986;0.482353;0.439216;0.4;29298.000000;1.000000;1.000000;1.000000;1.000000;0.122700;-0.122700;0.122700;1.000000;1.000000
445624.93860062;5696599.89919861;472.74314978;0.176471;0.172549;0.176471;11308.000000;1.000000;1.000000;1.000000;1.000000;0.069199;-0.069199;0.069199;1.000000;1.000000
445624.91930206;5696599.91729935;472.74244978;0.219608;0.211765;0.196078;13878.000000;1.000000;1.000000;1.000000;1.000000;-0.064243;0.064243;-0.064243;1.000000;1.000000
445624.95680244;5696599.91850098;472.74414970;0.12549;0.113725;0.12549;7710.000000;1.000000;1.000000;1.000000;1.000000;-0.088501;0.088501;-0.088501;1.000000;1.000000
445624.93800171;5696599.91789825;472.74335005;0.168627;0.160784;0.160784;10537.000000;1.000000;1.000000;1.000000;1.000000;-0.077488;0.077488;-0.077488;1.000000;1.000000
445624.97670181;5696599.88159760;472.74464991;0.364706;0.360784;0.376471;23644.000000;1.000000;1.000000;1.000000;1.000000;-0.051598;0.051598;-0.051598;1.000000;1.000000
445624.94520195;5696599.91959961;472.74364998;0.141176;0.133333;0.14902;8995.000000;1.000000;1.000000;1.000000;1.000000;-0.082321;0.082321;-0.082321;1.000000;1.000000
445624.91790207;5696599.92679794;472.74254992;0.239216;0.231373;0.227451;15163.000000;1.000000;1.000000;1.000000;1.000000;-0.056428;0.056428;-0.056428;1.000000;1.000000
445624.95650108;5696599.89049728;472.74384977;0.207843;0.203922;0.211765;13364.000000;1.000000;1.000000;1.000000;1.000000;-0.060497;0.060497;-0.060497;1.000000;1.000000
445624.92790230;5696599.90949829;472.74274971;0.176471;0.172549;0.164706;11308.000000;1.000000;1.000000;1.000000;1.000000;-0.075786;0.075786;-0.075786;1.000000;1.000000
445624.93680199;5696599.92749985;472.73875000;0.180392;0.176471;0.168627;11565.000000;1.000000;1.000000;1.000000;1.000000;-0.071020;0.071020;-0.071020;1.000000;1.000000
445624.99110229;5696599.73549850;472.74354984;0.592157;0.552941;0.498039;36494.000000;1.000000;1.000000;1.000000;1.000000;0.094501;-0.094501;0.094501;1.000000;1.000000
445624.94810112;5696599.90059860;472.74354984;0.184314;0.180392;0.184314;11822.000000;1.000000;1.000000;1.000000;1.000000;-0.070599;0.070599;-0.070599;1.000000;1.000000
445624.93720062;5696599.90870102;472.74314978;0.160784;0.156863;0.160784;10280.000000;1.000000;1.000000;1.000000;1.000000;0.078701;-0.078701;0.078701;1.000000;1.000000
445624.95740135;5696599.89979752;472.74405005;0.160784;0.152941;0.160784;10023.000000;1.000000;1.000000;1.000000;1.000000;-0.069798;0.069798;-0.069798;1.000000;1.000000
445624.96600159;5696599.89200027;472.74424984;0.305882;0.298039;0.309804;19532.000000;1.000000;1.000000;1.000000;1.000000;0.062000;-0.062000;0.062000;1.000000;1.000000
445624.98220070;5696599.71529968;472.74294998;0.278431;0.235294;0.192157;15934.000000;1.000000;1.000000;1.000000;1.000000;0.114700;-0.114700;0.114700;1.000000;1.000000
445624.98470123;5696599.71509750;472.74074986;0.294118;0.254902;0.207843;16962.000000;1.000000;1.000000;1.000000;1.000000;0.114902;-0.114902;0.114902;1.000000;1.000000
445624.95530136;5696599.92799957;472.74424984;0.133333;0.121569;0.137255;8224.000000;1.000000;1.000000;1.000000;1.000000;-0.086932;0.086932;-0.086932;1.000000;1.000000
445624.96680077;5696599.90119751;472.74445011;0.168627;0.160784;0.164706;10537.000000;1.000000;1.000000;1.000000;1.000000;0.071198;-0.071198;0.071198;1.000000;1.000000
445624.98370178;5696599.70579727;472.74284985;0.329412;0.286275;0.254902;19275.000000;1.000000;1.000000;1.000000;1.000000;0.124203;-0.124203;0.124203;1.000000;1.000000
445624.99400146;5696599.71419724;472.73875000;0.341176;0.294118;0.243137;19789.000000;1.000000;1.000000;1.000000;1.000000;-0.115803;0.115803;-0.115803;1.000000;1.000000
445624.93780144;5696599.88989838;472.74294998;0.215686;0.211765;0.211765;13878.000000;1.000000;1.000000;1.000000;1.000000;0.059898;-0.059898;0.059898;1.000000;1.000000
445624.97520073;5696599.89110001;472.74475004;0.282353;0.278431;0.286275;18247.000000;1.000000;1.000000;1.000000;1.000000;-0.061100;0.061100;-0.061100;1.000000;1.000000
445624.99260147;5696599.72369965;472.73885014;0.403922;0.360784;0.301961;23901.000000;1.000000;1.000000;1.000000;1.000000;0.106300;-0.106300;0.106300;1.000000;1.000000
445624.96540077;5696599.91069992;472.74445011;0.137255;0.129412;0.129412;8481.000000;1.000000;1.000000;1.000000;1.000000;0.080700;-0.080700;0.080700;1.000000;1.000000
445624.95590218;5696599.90920074;472.74405005;0.12549;0.117647;0.129412;7710.000000;1.000000;1.000000;1.000000;1.000000;-0.079201;0.079201;-0.079201;1.000000;1.000000
