//X;Y;Z;Rf;Gf;Bf;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump126
778
445590.56820114;5696586.29029854;474.75015022;0.215686;0.156863;0.0745098;10794.000000;1.000000;1.000000;1.000000;1.000000;-0.164924;0.164924;-0.164924;1.000000
445590.47950180;5696586.31449898;475.06325008;0.117647;0.0509804;0.00784314;4112.000000;1.000000;1.000000;1.000000;1.000000;-0.073039;0.073039;-0.073039;1.000000
445590.55740173;5696586.31189926;474.77554991;0.12549;0.0862745;0.0156863;5911.000000;1.000000;1.000000;1.000000;1.000000;-0.150368;0.150368;-0.150368;1.000000
445590.54580124;5696586.25919922;474.92814972;0.152941;0.0980392;0.0941176;7453.000000;1.000000;1.000000;1.000000;1.000000;-0.154813;0.154813;-0.154813;1.000000
445590.58210190;5696586.31239899;474.74644997;0.482353;0.466667;0.419608;30326.000000;1.000000;1.000000;1.000000;1.000000;-0.174863;0.174863;-0.174863;1.000000
445590.48840149;5696586.27149971;474.93034985;0.215686;0.184314;0.0980392;11822.000000;1.000000;1.000000;1.000000;1.000000;-0.099329;0.099329;-0.099329;1.000000
445590.56340225;5696586.22559937;474.88194992;0.105882;0.105882;0.0117647;6168.000000;1.000000;1.000000;1.000000;1.000000;-0.187109;0.187109;-0.187109;1.000000
445590.45160110;5696586.29839905;474.91965010;0.996078;0.996078;0.913725;64507.000000;1.000000;1.000000;1.000000;1.000000;-0.053746;0.053746;-0.053746;1.000000
445590.54110153;5696586.32589920;475.01725008;0.709804;0.666667;0.584314;43690.000000;1.000000;1.000000;1.000000;1.000000;-0.133038;0.133038;-0.133038;1.000000
445590.46640213;5696586.30719955;474.86684992;0.109804;0.0627451;0;4369.000000;1.000000;1.000000;1.000000;1.000000;-0.062577;0.062577;-0.062577;1.000000
445590.38230141;5696586.29729851;474.95144989;0.666667;0.627451;0.564706;41377.000000;1.000000;1.000000;1.000000;1.000000;-0.032701;0.032701;-0.032701;1.000000
445590.52280243;5696586.33669861;475.03054955;0.956863;0.87451;0.8;58339.000000;1.000000;1.000000;1.000000;1.000000;0.114871;-0.114871;0.114871;1.000000
445590.48060043;5696586.29609879;474.89304974;0.0823529;0.0431373;0;3084.000000;1.000000;1.000000;1.000000;1.000000;-0.080011;0.080011;-0.080011;1.000000
445590.57210167;5696586.31880005;474.98824980;0.447059;0.392157;0.305882;25957.000000;1.000000;1.000000;1.000000;1.000000;-0.164357;0.164357;-0.164357;1.000000
445590.55700119;5696586.30049904;474.76144983;0.498039;0.439216;0.352941;29298.000000;1.000000;1.000000;1.000000;1.000000;-0.151769;0.151769;-0.151769;1.000000
445590.49690063;5696586.33679970;475.03395035;0.639216;0.556863;0.458824;37265.000000;1.000000;1.000000;1.000000;1.000000;0.089034;-0.089034;0.089034;1.000000
445590.46000107;5696586.25669868;474.85204985;0.980392;0.960784;0.870588;62451.000000;1.000000;1.000000;1.000000;1.000000;-0.089800;0.089800;-0.089800;1.000000
445590.51890190;5696586.25070007;474.88254978;0.364706;0.317647;0.305882;21588.000000;1.000000;1.000000;1.000000;1.000000;-0.136234;0.136234;-0.136234;1.000000
445590.58730133;5696586.27639969;474.92324974;0.372549;0.337255;0.286275;22359.000000;1.000000;1.000000;1.000000;1.000000;-0.187020;0.187020;-0.187020;1.000000
445590.54350098;5696586.30989845;474.97984983;0.517647;0.54902;0.4;34181.000000;1.000000;1.000000;1.000000;1.000000;-0.136858;0.136858;-0.136858;1.000000
445590.47850235;5696586.33319862;475.07274963;0.784314;0.729412;0.654902;48316.000000;1.000000;1.000000;1.000000;1.000000;0.070448;-0.070448;0.070448;1.000000
