//X;Y;Z;Rf;Gf;Bf;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump129\
119
445601.53300102;5696587.64849861;474.19035007;0.729412;0.682353;0.490196;44204.000000;1.000000;1.000000;1.000000;1.000000;0.031124;-0.031124;0.031124;1.000000
445601.54710205;5696587.63289841;474.20944979;0.737255;0.701961;0.52549;45232.000000;1.000000;1.000000;1.000000;1.000000;0.045225;-0.045225;0.045225;1.000000
445601.55310257;5696587.63509949;474.18405010;0.784314;0.729412;0.592157;47802.000000;1.000000;1.000000;1.000000;1.000000;0.051226;-0.051226;0.051226;1.000000
445601.55290230;5696587.63279922;474.18174984;0.796078;0.741176;0.611765;48573.000000;1.000000;1.000000;1.000000;1.000000;0.051025;-0.051025;0.051025;1.000000
445601.53980072;5696587.64779861;474.19294979;0.729412;0.678431;0.470588;43947.000000;1.000000;1.000000;1.000000;1.000000;0.037924;-0.037924;0.037924;1.000000
445601.54710205;5696587.63289841;474.20944979;0.737255;0.701961;0.52549;45232.000000;1.000000;1.000000;1.000000;1.000000;0.045225;-0.045225;0.045225;1.000000
445601.54710205;5696587.63289841;474.20944979;0.737255;0.701961;0.52549;45232.000000;1.000000;1.000000;1.000000;1.000000;0.045225;-0.045225;0.045225;1.000000
445601.55290230;5696587.63279922;474.18174984;0.796078;0.741176;0.611765;48573.000000;1.000000;1.000000;1.000000;1.000000;0.051025;-0.051025;0.051025;1.000000
445601.53550156;5696587.65059860;474.19045021;0.737255;0.690196;0.498039;44718.000000;1.000000;1.000000;1.000000;1.000000;0.033625;-0.033625;0.033625;1.000000
445601.54160126;5696587.64069946;474.19065001;0.72549;0.67451;0.490196;43690.000000;1.000000;1.000000;1.000000;1.000000;0.039724;-0.039724;0.039724;1.000000
445601.53820236;5696587.65499886;474.19294979;0.752941;0.698039;0.513725;45489.000000;1.000000;1.000000;1.000000;1.000000;0.036325;-0.036325;0.036325;1.000000
445601.54930122;5696587.63039978;474.20715000;0.776471;0.737255;0.580392;47802.000000;1.000000;1.000000;1.000000;1.000000;0.047424;-0.047424;0.047424;1.000000
445601.55200203;5696587.64919861;474.18424990;0.729412;0.678431;0.470588;43947.000000;1.000000;1.000000;1.000000;1.000000;0.050125;-0.050125;0.050125;1.000000
445601.55200203;5696587.64919861;474.18424990;0.72549;0.67451;0.470588;43690.000000;1.000000;1.000000;1.000000;1.000000;0.050125;-0.050125;0.050125;1.000000
445601.55200203;5696587.64919861;474.18424990;0.729412;0.67451;0.470588;43690.000000;1.000000;1.000000;1.000000;1.000000;0.050125;-0.050125;0.050125;1.000000
445601.55140121;5696587.62559898;474.20254995;0.839216;0.796078;0.666667;51914.000000;1.000000;1.000000;1.000000;1.000000;0.049524;-0.049524;0.049524;1.000000
445601.54820068;5696587.63769920;474.19325020;0.721569;0.678431;0.490196;43947.000000;1.000000;1.000000;1.000000;1.000000;0.046324;-0.046324;0.046324;1.000000
445601.55290230;5696587.63279922;474.18174984;0.792157;0.741176;0.611765;48573.000000;1.000000;1.000000;1.000000;1.000000;0.051025;-0.051025;0.051025;1.000000
445601.55200203;5696587.64919861;474.18424990;0.729412;0.678431;0.470588;43947.000000;1.000000;1.000000;1.000000;1.000000;0.050125;-0.050125;0.050125;1.000000
445601.55140121;5696587.62559898;474.20254995;0.839216;0.796078;0.666667;51914.000000;1.000000;1.000000;1.000000;1.000000;0.049524;-0.049524;0.049524;1.000000
445601.55290230;5696587.63279922;474.18174984;0.796078;0.737255;0.611765;48316.000000;1.000000;1.000000;1.000000;1.000000;0.051025;-0.051025;0.051025;1.000000
445601.55170258;5696587.62789925;474.20025017;0.823529;0.780392;0.647059;50886.000000;1.000000;1.000000;1.000000;1.000000;0.049826;-0.049826;0.049826;1.000000
445601.53970154;5696587.64559944;474.19065001;0.729412;0.678431;0.478431;43947.000000;1.000000;1.000000;1.000000;1.000000;0.037825;-0.037825;0.037825;1.000000
445601.65190132;5696587.78949936;474.17875006;0.623529;0.552941;0.454902;36751.000000;1.000000;1.000000;1.000000;1.000000;0.040503;-0.040503;0.040503;1.000000
445601.61970146;5696587.79029854;474.16795017;0.501961;0.439216;0.305882;29041.000000;1.000000;1.000000;1.000000;1.000000;0.039701;-0.039701;0.039701;1.000000
445601.65190132;5696587.75929840;474.16674997;0.941176;0.913725;0.839216;59881.000000;1.000000;1.000000;1.000000;1.000000;0.070703;-0.070703;0.070703;1.000000
445601.63660152;5696587.77239998;474.17084982;0.643137;0.564706;0.47451;37779.000000;1.000000;1.000000;1.000000;1.000000;0.057600;-0.057600;0.057600;1.000000
445601.59920128;5696587.78559883;474.14605000;0.694118;0.65098;0.54902;42662.000000;1.000000;1.000000;1.000000;1.000000;0.044401;-0.044401;0.044401;1.000000
445601.60990150;5696587.78199966;474.16045000;0.74902;0.694118;0.580392;45746.000000;1.000000;1.000000;1.000000;1.000000;0.048000;-0.048000;0.048000;1.000000
445601.64990147;5696587.75739868;474.15494968;0.968627;0.956863;0.878431;62194.000000;1.000000;1.000000;1.000000;1.000000;0.072601;-0.072601;0.072601;1.000000
445601.60440166;5696587.81549843;474.14435007;0.698039;0.639216;0.537255;42148.000000;1.000000;1.000000;1.000000;1.000000;0.014502;-0.014502;0.014502;1.000000
445601.64330109;5696587.79279907;474.16904976;0.584314;0.505882;0.411765;33924.000000;1.000000;1.000000;1.000000;1.000000;0.037201;-0.037201;0.037201;1.000000
445601.61550148;5696587.76519974;474.15814974;0.686275;0.643137;0.537255;42148.000000;1.000000;1.000000;1.000000;1.000000;0.064800;-0.064800;0.064800;1.000000
445601.46850212;5696587.75429924;474.23294975;0.823529;0.827451;0.701961;53199.000000;1.000000;1.000000;1.000000;1.000000;-0.044899;0.044899;-0.044899;1.000000
445601.65010174;5696587.76419838;474.16674997;0.878431;0.839216;0.760784;54998.000000;1.000000;1.000000;1.000000;1.000000;0.065802;-0.065802;0.065802;1.000000
445601.62550171;5696587.79919823;474.16134979;0.505882;0.431373;0.298039;28527.000000;1.000000;1.000000;1.000000;1.000000;0.030832;-0.030832;0.030832;1.000000
445601.62650116;5696587.76169975;474.16564991;0.705882;0.658824;0.556863;43176.000000;1.000000;1.000000;1.000000;1.000000;0.068301;-0.068301;0.068301;1.000000
445601.65190132;5696587.78949936;474.17875006;0.627451;0.556863;0.458824;37008.000000;1.000000;1.000000;1.000000;1.000000;0.040503;-0.040503;0.040503;1.000000
445601.59560211;5696587.81649979;474.13464977;0.721569;0.670588;0.568627;44204.000000;1.000000;1.000000;1.000000;1.000000;0.013500;-0.013500;0.013500;1.000000
