//X;Y;Z;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump27;Rf;Gf;Bf
25826
445642.34360321;5696574.99619873;470.83424999;13107.000000;1.000000;1.000000;1.000000;1.000000;0.122976;-0.122976;0.122976;1.000000;0.243137;0.2;0.105882
445642.15450104;5696574.95069893;470.83684995;17733.000000;1.000000;1.000000;1.000000;1.000000;-0.066126;0.066126;-0.066126;1.000000;0.298039;0.282353;0.156863
445642.17860229;5696574.85739906;470.83445003;20560.000000;1.000000;1.000000;1.000000;1.000000;-0.027399;0.027399;-0.027399;1.000000;0.329412;0.32549;0.243137
445642.32430084;5696574.76669891;470.83764984;15677.000000;1.000000;1.000000;1.000000;1.000000;0.121471;-0.121471;0.121471;1.000000;0.254902;0.243137;0.180392
445642.17860229;5696574.85739906;470.83445003;20817.000000;1.000000;1.000000;1.000000;1.000000;-0.027399;0.027399;-0.027399;1.000000;0.333333;0.329412;0.247059
445642.07180222;5696574.76219948;470.82854988;14392.000000;1.000000;1.000000;1.000000;1.000000;0.067801;-0.067801;0.067801;1.000000;0.207843;0.239216;0.180392
445642.32190140;5696574.76459892;470.83515002;11822.000000;1.000000;1.000000;1.000000;1.000000;0.120556;-0.120556;0.120556;1.000000;0.196078;0.188235;0.129412
445642.17860229;5696574.85739906;470.83445003;21074.000000;1.000000;1.000000;1.000000;1.000000;-0.027399;0.027399;-0.027399;1.000000;0.337255;0.333333;0.25098
445642.15450104;5696574.95069893;470.83684995;17990.000000;1.000000;1.000000;1.000000;1.000000;-0.066126;0.066126;-0.066126;1.000000;0.298039;0.286275;0.156863
445642.33749969;5696575.00609882;470.83404996;12593.000000;1.000000;1.000000;1.000000;1.000000;0.116873;-0.116873;0.116873;1.000000;0.207843;0.2;0.117647
445642.16940125;5696574.85819920;470.83404996;17476.000000;1.000000;1.000000;1.000000;1.000000;-0.028199;0.028199;-0.028199;1.000000;0.278431;0.278431;0.188235
445642.17860229;5696574.85739906;470.83445003;20560.000000;1.000000;1.000000;1.000000;1.000000;-0.027399;0.027399;-0.027399;1.000000;0.329412;0.32549;0.243137
445642.34110077;5696574.99639900;470.83874990;8481.000000;1.000000;1.000000;1.000000;1.000000;0.120474;-0.120474;0.120474;1.000000;0.14902;0.137255;0.0627451
445642.15450104;5696574.95069893;470.83684995;17990.000000;1.000000;1.000000;1.000000;1.000000;-0.066126;0.066126;-0.066126;1.000000;0.298039;0.286275;0.152941
445642.17860229;5696574.85739906;470.83445003;21074.000000;1.000000;1.000000;1.000000;1.000000;-0.027399;0.027399;-0.027399;1.000000;0.337255;0.333333;0.25098
445642.07180222;5696574.76219948;470.82854988;14649.000000;1.000000;1.000000;1.000000;1.000000;0.067801;-0.067801;0.067801;1.000000;0.207843;0.243137;0.180392
445642.07180222;5696574.76219948;470.82854988;14392.000000;1.000000;1.000000;1.000000;1.000000;0.067801;-0.067801;0.067801;1.000000;0.207843;0.239216;0.180392
445642.07180222;5696574.76219948;470.82854988;14649.000000;1.000000;1.000000;1.000000;1.000000;0.067801;-0.067801;0.067801;1.000000;0.207843;0.243137;0.180392
445642.34150131;5696574.99879940;470.83414986;11822.000000;1.000000;1.000000;1.000000;1.000000;0.120874;-0.120874;0.120874;1.000000;0.211765;0.184314;0.0980392
445642.07180222;5696574.76219948;470.82854988;14392.000000;1.000000;1.000000;1.000000;1.000000;0.067801;-0.067801;0.067801;1.000000;0.207843;0.239216;0.176471
445642.15450104;5696574.95069893;470.83684995;17990.000000;1.000000;1.000000;1.000000;1.000000;-0.066126;0.066126;-0.066126;1.000000;0.298039;0.286275;0.156863
445642.34090240;5696574.99409874;470.83874990;8224.000000;1.000000;1.000000;1.000000;1.000000;0.120275;-0.120275;0.120275;1.000000;0.145098;0.133333;0.0588235
445642.15450104;5696574.95069893;470.83684995;17990.000000;1.000000;1.000000;1.000000;1.000000;-0.066126;0.066126;-0.066126;1.000000;0.298039;0.286275;0.156863
445642.07180222;5696574.76219948;470.82854988;14649.000000;1.000000;1.000000;1.000000;1.000000;0.067801;-0.067801;0.067801;1.000000;0.207843;0.243137;0.180392
445642.34360321;5696574.99619873;470.83424999;13364.000000;1.000000;1.000000;1.000000;1.000000;0.122976;-0.122976;0.122976;1.000000;0.247059;0.203922;0.105882
445642.34119995;5696574.99639900;470.83644988;11051.000000;1.000000;1.000000;1.000000;1.000000;0.120573;-0.120573;0.120573;1.000000;0.2;0.172549;0.0823529
445642.15450104;5696574.95069893;470.83684995;17990.000000;1.000000;1.000000;1.000000;1.000000;-0.066126;0.066126;-0.066126;1.000000;0.298039;0.286275;0.156863
445642.32190140;5696574.76459892;470.83515002;12079.000000;1.000000;1.000000;1.000000;1.000000;0.120556;-0.120556;0.120556;1.000000;0.2;0.188235;0.129412
445642.33749969;5696575.00609882;470.83404996;12593.000000;1.000000;1.000000;1.000000;1.000000;0.116873;-0.116873;0.116873;1.000000;0.207843;0.2;0.117647
445642.32190140;5696574.76459892;470.83515002;12079.000000;1.000000;1.000000;1.000000;1.000000;0.120556;-0.120556;0.120556;1.000000;0.2;0.188235;0.129412
445642.07180222;5696574.76219948;470.82854988;14392.000000;1.000000;1.000000;1.000000;1.000000;0.067801;-0.067801;0.067801;1.000000;0.207843;0.239216;0.180392
445641.66170319;5696574.71589954;471.28224995;34952.000000;1.000000;1.000000;1.000000;1.000000;0.114100;-0.114100;0.114100;1.000000;0.572549;0.537255;0.439216
445641.73070343;5696574.96149929;471.29995014;20560.000000;1.000000;1.000000;1.000000;1.000000;-0.118748;0.118748;-0.118748;1.000000;0.360784;0.301961;0.25098
445641.88570221;5696574.84289940;471.24494984;14392.000000;1.000000;1.000000;1.000000;1.000000;-0.012899;0.012899;-0.012899;1.000000;0.247059;0.223529;0.137255
445641.59720047;5696574.75509937;471.39855005;43433.000000;1.000000;1.000000;1.000000;1.000000;0.080565;-0.080565;0.080565;1.000000;0.705882;0.662745;0.576471
445641.70140274;5696574.87909897;471.36514999;40606.000000;1.000000;1.000000;1.000000;1.000000;-0.049099;0.049099;-0.049099;1.000000;0.647059;0.619608;0.54902
445641.64410217;5696574.85219868;471.33435013;45489.000000;1.000000;1.000000;1.000000;1.000000;-0.022199;0.022199;-0.022199;1.000000;0.733333;0.690196;0.615686
