//X;Y;Z;R;G;B;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump11;Stump112
445624.90840157;5696599.92539795;472.74204971;64;61;59;15677.000000;1.000000;1.000000;1.000000;1.000000;-0.051049;0.051049;-0.051049;1.000000;1.000000
445624.94720085;5696599.89139755;472.74344971;52;50;50;12850.000000;1.000000;1.000000;1.000000;1.000000;-0.061398;0.061398;-0.061398;1.000000;1.000000
445624.95790108;5696599.88099869;472.74384977;69;67;71;17476.000000;1.000000;1.000000;1.000000;1.000000;-0.050999;0.050999;-0.050999;1.000000;1.000000
445624.94660194;5696599.91010101;472.74364998;41;40;42;10280.000000;1.000000;1.000000;1.000000;1.000000;-0.080101;0.080101;-0.080101;1.000000;1.000000
445624.89980133;5696599.93319901;472.74174978;47;45;44;11565.000000;1.000000;1.000000;1.000000;1.000000;-0.039657;0.039657;-0.039657;1.000000;1.000000
445624.92720230;5696599.92600067;472.74064972;50;49;49;12593.000000;1.000000;1.000000;1.000000;1.000000;-0.064024;0.064024;-0.064024;1.000000;1.000000
445624.92860229;5696599.91649826;472.74284985;55;52;49;13364.000000;1.000000;1.000000;1.000000;1.000000;-0.071273;0.071273;-0.071273;1.000000;1.000000
445624.96390160;5696599.92019852;472.74454977;35;33;33;8481.000000;1.000000;1.000000;1.000000;1.000000;0.090199;-0.090199;0.090199;1.000000;1.000000
445624.96740158;5696599.88249786;472.74424984;92;91;95;23387.000000;1.000000;1.000000;1.000000;1.000000;0.052498;-0.052498;0.052498;1.000000;1.000000
445624.94630249;5696599.92889984;472.73915007;44;41;40;10537.000000;1.000000;1.000000;1.000000;1.000000;-0.078533;0.078533;-0.078533;1.000000;1.000000
445624.99340065;5696599.70730026;472.73864986;123;112;102;29298.000000;1.000000;1.000000;1.000000;1.000000;0.122700;-0.122700;0.122700;1.000000;1.000000
445624.93860062;5696599.89919861;472.74314978;45;44;45;11308.000000;1.000000;1.000000;1.000000;1.000000;0.069199;-0.069199;0.069199;1.000000;1.000000
445624.91930206;5696599.91729935;472.74244978;56;54;50;13878.000000;1.000000;1.000000;1.000000;1.000000;-0.064243;0.064243;-0.064243;1.000000;1.000000
445624.95680244;5696599.91850098;472.74414970;32;29;32;7710.000000;1.000000;1.000000;1.000000;1.000000;-0.088501;0.088501;-0.088501;1.000000;1.000000
445624.93800171;5696599.91789825;472.74335005;43;41;41;10537.000000;1.000000;1.000000;1.000000;1.000000;-0.077488;0.077488;-0.077488;1.000000;1.000000
445624.97670181;5696599.88159760;472.74464991;93;92;96;23644.000000;1.000000;1.000000;1.000000;1.000000;-0.051598;0.051598;-0.051598;1.000000;1.000000
445624.94520195;5696599.91959961;472.74364998;36;34;38;8995.000000;1.000000;1.000000;1.000000;1.000000;-0.082321;0.082321;-0.082321;1.000000;1.000000
445624.91790207;5696599.92679794;472.74254992;61;59;58;15163.000000;1.000000;1.000000;1.000000;1.000000;-0.056428;0.056428;-0.056428;1.000000;1.000000
445624.95650108;5696599.89049728;472.74384977;53;52;54;13364.000000;1.000000;1.000000;1.000000;1.000000;-0.060497;0.060497;-0.060497;1.000000;1.000000
445624.92790230;5696599.90949829;472.74274971;45;44;42;11308.000000;1.000000;1.000000;1.000000;1.000000;-0.075786;0.075786;-0.075786;1.000000;1.000000
445624.93680199;5696599.92749985;472.73875000;46;45;43;11565.000000;1.000000;1.000000;1.000000;1.000000;-0.071020;0.071020;-0.071020;1.000000;1.000000
445624.99110229;5696599.73549850;472.74354984;151;141;127;36494.000000;1.000000;1.000000;1.000000;1.000000;0.094501;-0.094501;0.094501;1.000000;1.000000
445624.94810112;5696599.90059860;472.74354984;47;46;47;11822.000000;1.000000;1.000000;1.000000;1.000000;-0.070599;0.070599;-0.070599;1.000000;1.000000
445624.93720062;5696599.90870102;472.74314978;41;40;41;10280.000000;1.000000;1.000000;1.000000;1.000000;0.078701;-0.078701;0.078701;1.000000;1.000000
445624.95740135;5696599.89979752;472.74405005;41;39;41;10023.000000;1.000000;1.000000;1.000000;1.000000;-0.069798;0.069798;-0.069798;1.000000;1.000000
445624.96600159;5696599.89200027;472.74424984;78;76;79;19532.000000;1.000000;1.000000;1.000000;1.000000;0.062000;-0.062000;0.062000;1.000000;1.000000
445624.98220070;5696599.71529968;472.74294998;71;60;49;15934.000000;1.000000;1.000000;1.000000;1.000000;0.114700;-0.114700;0.114700;1.000000;1.000000
