//X;Y;Z;R;G;B;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump123
445583.95910080;5696578.50209911;474.40315010;196;188;155;47802.000000;1.000000;1.000000;1.000000;1.000000;-0.172099;0.172099;-0.172099;1.000000
445584.02620132;5696578.49809940;474.41074993;193;192;162;48573.000000;1.000000;1.000000;1.000000;1.000000;-0.168201;0.168201;-0.168201;1.000000
445583.94920166;5696578.52619942;474.41464998;218;211;168;53456.000000;1.000000;1.000000;1.000000;1.000000;-0.196199;0.196199;-0.196199;1.000000
445584.02430161;5696578.50519951;474.41545012;194;195;162;49087.000000;1.000000;1.000000;1.000000;1.000000;-0.175244;0.175244;-0.175244;1.000000
445584.01970108;5696578.44069870;474.38415005;166;161;149;41377.000000;1.000000;1.000000;1.000000;1.000000;-0.110699;0.110699;-0.110699;1.000000
445584.01530273;5696578.47819908;474.40304996;199;192;172;49087.000000;1.000000;1.000000;1.000000;1.000000;-0.148199;0.148199;-0.148199;1.000000
445584.02720078;5696578.47939880;474.40124990;184;180;162;46003.000000;1.000000;1.000000;1.000000;1.000000;-0.149516;0.149516;-0.149516;1.000000
445584.02830322;5696578.43289955;474.38444998;154;148;136;38036.000000;1.000000;1.000000;1.000000;1.000000;-0.103012;0.103012;-0.103012;1.000000
445584.00870331;5696578.45099934;474.39074995;161;156;138;39835.000000;1.000000;1.000000;1.000000;1.000000;-0.120999;0.120999;-0.120999;1.000000
445584.03390320;5696578.50659950;474.41354992;194;194;167;49087.000000;1.000000;1.000000;1.000000;1.000000;-0.176600;0.176600;-0.176600;1.000000
445584.03290375;5696578.52749928;474.42775013;173;172;138;43176.000000;1.000000;1.000000;1.000000;1.000000;-0.197499;0.197499;-0.197499;1.000000
445583.97040375;5696578.49639900;474.40124990;196;188;157;47802.000000;1.000000;1.000000;1.000000;1.000000;-0.166399;0.166399;-0.166399;1.000000
445584.02340134;5696578.52379902;474.42264988;184;182;142;45746.000000;1.000000;1.000000;1.000000;1.000000;-0.193823;0.193823;-0.193823;1.000000
445584.01750000;5696578.50809868;474.41744997;202;199;167;50372.000000;1.000000;1.000000;1.000000;1.000000;-0.178099;0.178099;-0.178099;1.000000
445583.95990189;5696578.51359947;474.41034986;209;203;171;51657.000000;1.000000;1.000000;1.000000;1.000000;-0.183599;0.183599;-0.183599;1.000000
445584.01590164;5696578.48509892;474.40555002;196;191;165;48573.000000;1.000000;1.000000;1.000000;1.000000;-0.155099;0.155099;-0.155099;1.000000
445584.01640137;5696578.45949944;474.39354994;168;163;144;41634.000000;1.000000;1.000000;1.000000;1.000000;-0.129499;0.129499;-0.129499;1.000000
445583.95060165;5696578.51219948;474.40525009;219;212;182;53970.000000;1.000000;1.000000;1.000000;1.000000;-0.182199;0.182199;-0.182199;1.000000
445584.01659973;5696578.49659927;474.41264965;203;201;175;50886.000000;1.000000;1.000000;1.000000;1.000000;-0.166599;0.166599;-0.166599;1.000000
445584.01620300;5696578.52209957;474.42455008;173;169;132;42662.000000;1.000000;1.000000;1.000000;1.000000;-0.192100;0.192100;-0.192100;1.000000
445584.00700195;5696578.52529915;474.42654993;166;161;123;40606.000000;1.000000;1.000000;1.000000;1.000000;-0.195299;0.195299;-0.195299;1.000000
445583.93990143;5696578.52699955;474.41424992;227;218;180;55512.000000;1.000000;1.000000;1.000000;1.000000;-0.197000;0.197000;-0.197000;1.000000
445583.95980270;5696578.51129921;474.40794994;207;201;170;51143.000000;1.000000;1.000000;1.000000;1.000000;-0.181299;0.181299;-0.181299;1.000000
445584.00720032;5696578.49509914;474.41225006;207;202;171;51400.000000;1.000000;1.000000;1.000000;1.000000;-0.165099;0.165099;-0.165099;1.000000
445584.02779968;5696578.48629959;474.40374996;180;177;153;44975.000000;1.000000;1.000000;1.000000;1.000000;-0.156390;0.156390;-0.156390;1.000000
445583.97020157;5696578.49179943;474.39654972;200;192;166;49087.000000;1.000000;1.000000;1.000000;1.000000;-0.161799;0.161799;-0.161799;1.000000
445583.98050125;5696578.47689922;474.39444973;176;168;142;42919.000000;1.000000;1.000000;1.000000;1.000000;-0.146899;0.146899;-0.146899;1.000000
445583.95070084;5696578.51449879;474.40754988;225;218;187;55512.000000;1.000000;1.000000;1.000000;1.000000;-0.184499;0.184499;-0.184499;1.000000
445584.01690109;5696578.46649940;474.39605000;181;173;152;44461.000000;1.000000;1.000000;1.000000;1.000000;-0.136499;0.136499;-0.136499;1.000000
445583.96990021;5696578.52419956;474.41785004;200;191;155;48573.000000;1.000000;1.000000;1.000000;1.000000;-0.194200;0.194200;-0.194200;1.000000
445584.02880295;5696578.46769913;474.39424994;200;191;170;49087.000000;1.000000;1.000000;1.000000;1.000000;-0.137767;0.137767;-0.137767;1.000000
445584.02740295;5696578.44929894;474.38695004;174;171;159;43690.000000;1.000000;1.000000;1.000000;1.000000;-0.119436;0.119436;-0.119436;1.000000
445583.97960098;5696578.49549873;474.40164997;196;188;159;48059.000000;1.000000;1.000000;1.000000;1.000000;-0.165499;0.165499;-0.165499;1.000000
445583.96860321;5696578.50349911;474.40354969;189;183;153;46517.000000;1.000000;1.000000;1.000000;1.000000;-0.173499;0.173499;-0.173499;1.000000
445584.02570160;5696578.49109943;474.40835001;182;179;149;45232.000000;1.000000;1.000000;1.000000;1.000000;-0.161188;0.161188;-0.161188;1.000000
445584.03210266;5696578.51599892;474.42054989;197;195;165;49344.000000;1.000000;1.000000;1.000000;1.000000;-0.186002;0.186002;-0.186002;1.000000
445584.02499969;5696578.51439960;474.42024996;198;194;158;49087.000000;1.000000;1.000000;1.000000;1.000000;-0.184458;0.184458;-0.184458;1.000000
445583.95120056;5696578.52129944;474.41235020;225;217;185;55255.000000;1.000000;1.000000;1.000000;1.000000;-0.191299;0.191299;-0.191299;1.000000
445583.96110352;5696578.49719913;474.40084984;198;191;157;48573.000000;1.000000;1.000000;1.000000;1.000000;-0.167199;0.167199;-0.167199;1.000000
445583.98010071;5696578.50469883;474.41115000;187;181;148;46003.000000;1.000000;1.000000;1.000000;1.000000;-0.174699;0.174699;-0.174699;1.000000
445584.03320129;5696578.49739941;474.41104986;185;183;156;46260.000000;1.000000;1.000000;1.000000;1.000000;-0.167399;0.167399;-0.167399;1.000000
445583.97670181;5696578.52349957;474.42044975;192;186;148;47031.000000;1.000000;1.000000;1.000000;1.000000;-0.193500;0.193500;-0.193500;1.000000
445584.00390060;5696578.51399906;474.42164995;186;182;147;46003.000000;1.000000;1.000000;1.000000;1.000000;-0.183999;0.183999;-0.183999;1.000000
445584.01700027;5696578.46869953;474.39834978;175;169;146;43176.000000;1.000000;1.000000;1.000000;1.000000;-0.138700;0.138700;-0.138700;1.000000
445584.03270157;5696578.52299889;474.42304995;187;186;150;46774.000000;1.000000;1.000000;1.000000;1.000000;-0.192999;0.192999;-0.192999;1.000000
445583.96059998;5696578.52509888;474.41744997;216;205;168;52428.000000;1.000000;1.000000;1.000000;1.000000;-0.195099;0.195099;-0.195099;1.000000
445584.00760086;5696578.46729954;474.39564993;170;162;141;41634.000000;1.000000;1.000000;1.000000;1.000000;-0.137300;0.137300;-0.137300;1.000000
445583.97750290;5696578.50029953;474.40625002;183;176;145;44718.000000;1.000000;1.000000;1.000000;1.000000;-0.170300;0.170300;-0.170300;1.000000
445584.00819977;5696578.47649868;474.40275003;177;173;152;43947.000000;1.000000;1.000000;1.000000;1.000000;-0.146499;0.146499;-0.146499;1.000000
445583.95860107;5696578.52979954;474.42205002;212;203;165;51657.000000;1.000000;1.000000;1.000000;1.000000;-0.199800;0.199800;-0.199800;1.000000
445584.00660141;5696578.48819931;474.40975000;190;185;154;47031.000000;1.000000;1.000000;1.000000;1.000000;-0.158199;0.158199;-0.158199;1.000000
