//X;Y;Z;R;G;B;Intensity;Return Number;Number Of Returns;Scan Direction Flag;Point Source ID;C2M signed distances[-][<0.8];C2M signed distances[<0.4];C2M signed distances[-][<0.2];Stump129\
445601.53300102;5696587.64849861;474.19035007;186;174;125;44204.000000;1.000000;1.000000;1.000000;1.000000;0.031124;-0.031124;0.031124;1.000000
445601.54710205;5696587.63289841;474.20944979;188;179;134;45232.000000;1.000000;1.000000;1.000000;1.000000;0.045225;-0.045225;0.045225;1.000000
445601.55310257;5696587.63509949;474.18405010;200;186;151;47802.000000;1.000000;1.000000;1.000000;1.000000;0.051226;-0.051226;0.051226;1.000000
445601.55290230;5696587.63279922;474.18174984;203;189;156;48573.000000;1.000000;1.000000;1.000000;1.000000;0.051025;-0.051025;0.051025;1.000000
445601.53980072;5696587.64779861;474.19294979;186;173;120;43947.000000;1.000000;1.000000;1.000000;1.000000;0.037924;-0.037924;0.037924;1.000000
445601.54710205;5696587.63289841;474.20944979;188;179;134;45232.000000;1.000000;1.000000;1.000000;1.000000;0.045225;-0.045225;0.045225;1.000000
445601.54710205;5696587.63289841;474.20944979;188;179;134;45232.000000;1.000000;1.000000;1.000000;1.000000;0.045225;-0.045225;0.045225;1.000000
445601.55290230;5696587.63279922;474.18174984;203;189;156;48573.000000;1.000000;1.000000;1.000000;1.000000;0.051025;-0.051025;0.051025;1.000000
445601.53550156;5696587.65059860;474.19045021;188;176;127;44718.000000;1.000000;1.000000;1.000000;1.000000;0.033625;-0.033625;0.033625;1.000000
445601.54160126;5696587.64069946;474.19065001;185;172;125;43690.000000;1.000000;1.000000;1.000000;1.000000;0.039724;-0.039724;0.039724;1.000000
445601.53820236;5696587.65499886;474.19294979;192;178;131;45489.000000;1.000000;1.000000;1.000000;1.000000;0.036325;-0.036325;0.036325;1.000000
445601.54930122;5696587.63039978;474.20715000;198;188;148;47802.000000;1.000000;1.000000;1.000000;1.000000;0.047424;-0.047424;0.047424;1.000000
445601.55200203;5696587.64919861;474.18424990;186;173;120;43947.000000;1.000000;1.000000;1.000000;1.000000;0.050125;-0.050125;0.050125;1.000000
445601.55200203;5696587.64919861;474.18424990;185;172;120;43690.000000;1.000000;1.000000;1.000000;1.000000;0.050125;-0.050125;0.050125;1.000000
445601.55200203;5696587.64919861;474.18424990;186;172;120;43690.000000;1.000000;1.000000;1.000000;1.000000;0.050125;-0.050125;0.050125;1.000000
445601.55140121;5696587.62559898;474.20254995;214;203;170;51914.000000;1.000000;1.000000;1.000000;1.000000;0.049524;-0.049524;0.049524;1.000000
445601.54820068;5696587.63769920;474.19325020;184;173;125;43947.000000;1.000000;1.000000;1.000000;1.000000;0.046324;-0.046324;0.046324;1.000000
445601.55290230;5696587.63279922;474.18174984;202;189;156;48573.000000;1.000000;1.000000;1.000000;1.000000;0.051025;-0.051025;0.051025;1.000000
445601.55200203;5696587.64919861;474.18424990;186;173;120;43947.000000;1.000000;1.000000;1.000000;1.000000;0.050125;-0.050125;0.050125;1.000000
445601.55140121;5696587.62559898;474.20254995;214;203;170;51914.000000;1.000000;1.000000;1.000000;1.000000;0.049524;-0.049524;0.049524;1.000000
445601.55290230;5696587.63279922;474.18174984;203;188;156;48316.000000;1.000000;1.000000;1.000000;1.000000;0.051025;-0.051025;0.051025;1.000000
445601.55170258;5696587.62789925;474.20025017;210;199;165;50886.000000;1.000000;1.000000;1.000000;1.000000;0.049826;-0.049826;0.049826;1.000000
445601.53970154;5696587.64559944;474.19065001;186;173;122;43947.000000;1.000000;1.000000;1.000000;1.000000;0.037825;-0.037825;0.037825;1.000000
445601.65190132;5696587.78949936;474.17875006;159;141;116;36751.000000;1.000000;1.000000;1.000000;1.000000;0.040503;-0.040503;0.040503;1.000000
445601.61970146;5696587.79029854;474.16795017;128;112;78;29041.000000;1.000000;1.000000;1.000000;1.000000;0.039701;-0.039701;0.039701;1.000000
445601.65190132;5696587.75929840;474.16674997;240;233;214;59881.000000;1.000000;1.000000;1.000000;1.000000;0.070703;-0.070703;0.070703;1.000000
445601.63660152;5696587.77239998;474.17084982;164;144;121;37779.000000;1.000000;1.000000;1.000000;1.000000;0.057600;-0.057600;0.057600;1.000000
445601.59920128;5696587.78559883;474.14605000;177;166;140;42662.000000;1.000000;1.000000;1.000000;1.000000;0.044401;-0.044401;0.044401;1.000000
445601.60990150;5696587.78199966;474.16045000;191;177;148;45746.000000;1.000000;1.000000;1.000000;1.000000;0.048000;-0.048000;0.048000;1.000000
445601.64990147;5696587.75739868;474.15494968;247;244;224;62194.000000;1.000000;1.000000;1.000000;1.000000;0.072601;-0.072601;0.072601;1.000000
445601.60440166;5696587.81549843;474.14435007;178;163;137;42148.000000;1.000000;1.000000;1.000000;1.000000;0.014502;-0.014502;0.014502;1.000000
445601.64330109;5696587.79279907;474.16904976;149;129;105;33924.000000;1.000000;1.000000;1.000000;1.000000;0.037201;-0.037201;0.037201;1.000000
445601.61550148;5696587.76519974;474.15814974;175;164;137;42148.000000;1.000000;1.000000;1.000000;1.000000;0.064800;-0.064800;0.064800;1.000000
445601.46850212;5696587.75429924;474.23294975;210;211;179;53199.000000;1.000000;1.000000;1.000000;1.000000;-0.044899;0.044899;-0.044899;1.000000
445601.65010174;5696587.76419838;474.16674997;224;214;194;54998.000000;1.000000;1.000000;1.000000;1.000000;0.065802;-0.065802;0.065802;1.000000
445601.62550171;5696587.79919823;474.16134979;129;110;76;28527.000000;1.000000;1.000000;1.000000;1.000000;0.030832;-0.030832;0.030832;1.000000
445601.62650116;5696587.76169975;474.16564991;180;168;142;43176.000000;1.000000;1.000000;1.000000;1.000000;0.068301;-0.068301;0.068301;1.000000
445601.65190132;5696587.78949936;474.17875006;160;142;117;37008.000000;1.000000;1.000000;1.000000;1.000000;0.040503;-0.040503;0.040503;1.000000
445601.59560211;5696587.81649979;474.13464977;184;171;145;44204.000000;1.000000;1.000000;1.000000;1.000000;0.013500;-0.013500;0.013500;1.000000
445601.63780125;5696587.78399857;474.16874983;160;138;115;36494.000000;1.000000;1.000000;1.000000;1.000000;0.046001;-0.046001;0.046001;1.000000
445601.63440140;5696587.74919899;474.17285015;234;225;201;57825.000000;1.000000;1.000000;1.000000;1.000000;0.080801;-0.080801;0.080801;1.000000
445601.65190132;5696587.78949936;474.17875006;162;143;118;37265.000000;1.000000;1.000000;1.000000;1.000000;0.040503;-0.040503;0.040503;1.000000
445601.66280182;5696587.78599937;474.18855001;202;185;159;48059.000000;1.000000;1.000000;1.000000;1.000000;0.044001;-0.044001;0.044001;1.000000
445601.62970169;5696587.77299889;474.17054989;153;134;110;35209.000000;1.000000;1.000000;1.000000;1.000000;0.057001;-0.057001;0.057001;1.000000
445601.61980160;5696587.76239975;474.16064980;177;165;139;42405.000000;1.000000;1.000000;1.000000;1.000000;0.067600;-0.067600;0.067600;1.000000
445601.62890156;5696587.76379974;474.16804983;176;163;138;42148.000000;1.000000;1.000000;1.000000;1.000000;0.066200;-0.066200;0.066200;1.000000
445601.60690125;5696587.81979950;474.14914991;184;171;143;43947.000000;1.000000;1.000000;1.000000;1.000000;0.010201;-0.010201;0.010201;1.000000
445601.59920128;5696587.78559883;474.14605000;177;166;140;42662.000000;1.000000;1.000000;1.000000;1.000000;0.044401;-0.044401;0.044401;1.000000
445601.64460190;5696587.78329857;474.17135002;177;155;132;40863.000000;1.000000;1.000000;1.000000;1.000000;0.046701;-0.046701;0.046701;1.000000
445601.62400158;5696587.80639847;474.15905001;153;136;111;35466.000000;1.000000;1.000000;1.000000;1.000000;0.023776;-0.023776;0.023776;1.000000
445601.60690125;5696587.81979950;474.14914991;184;171;143;43947.000000;1.000000;1.000000;1.000000;1.000000;0.010201;-0.010201;0.010201;1.000000
445601.66060169;5696587.78619965;474.18615009;193;176;151;45746.000000;1.000000;1.000000;1.000000;1.000000;0.043800;-0.043800;0.043800;1.000000
445601.64990147;5696587.75739868;474.15494968;247;244;224;62194.000000;1.000000;1.000000;1.000000;1.000000;0.072601;-0.072601;0.072601;1.000000
445601.61490162;5696587.78389938;474.15835001;174;160;128;41120.000000;1.000000;1.000000;1.000000;1.000000;0.046101;-0.046101;0.046101;1.000000
